z,dpt
0.3247108455744602,2.1843519662341055
0.3247108455744602,2.6668717890953872
0.008920979129804225,-1.1674613249270662
0.008920979129804225,-0.7885908892222528
0.11276409261695375,-0.4490026223157609
0.11276409261695375,-0.051326598849992654
0.12104104100828376,-0.38867457290166835
0.12104104100828376,0.03789456189624372
0.1663381723258246,0.05402106531629904
0.1663381723258246,0.3890646560174522
0.1887299866756758,0.25219798526461457
0.1887299866756758,0.7293988174845542
0.20441269320159,0.43721522331992246
0.20441269320159,0.9309004750690658
0.23043186456931583,0.7852459873711715
0.23043186456931583,1.2240546066410254
0.25056109838120477,1.0213730788656106
0.25056109838120477,1.3413132078376182
